individuo 4  fitness: 3692793856.000000 POPULACAO INICIAL
individuo 0  fitness: 3476340480.000000 geracao :0
individuo 0  fitness: 14430199.000000 geracao :1
individuo 0  fitness: 14430199.000000 geracao :2
individuo 0  fitness: 14430199.000000 geracao :3
individuo 0  fitness: 3065533.250000 geracao :4
individuo 0  fitness: 528448.312500 geracao :5
individuo 0  fitness: 292741664.000000 geracao :6
individuo 0  fitness: 292741664.000000 geracao :7
individuo 0  fitness: 288378304.000000 geracao :8
individuo 0  fitness: 730913.437500 geracao :9
individuo 0  fitness: 730913.437500 geracao :10
individuo 0  fitness: 730913.437500 geracao :11
individuo 0  fitness: 730913.437500 geracao :12
individuo 0  fitness: 730913.437500 geracao :13
individuo 0  fitness: 730913.437500 geracao :14
individuo 0  fitness: 730913.437500 geracao :15
individuo 0  fitness: 730913.437500 geracao :16
individuo 0  fitness: 730913.437500 geracao :17
individuo 0  fitness: 730913.437500 geracao :18
individuo 0  fitness: 3530102.500000 geracao :19
individuo 0  fitness: 15418976.000000 geracao :20
individuo 0  fitness: 11660446.000000 geracao :21
individuo 0  fitness: 1309009664.000000 geracao :22
individuo 0  fitness: 1309009664.000000 geracao :23
individuo 0  fitness: 1309009664.000000 geracao :24
individuo 0  fitness: 1309588608.000000 geracao :25
individuo 0  fitness: 1349254400.000000 geracao :26
individuo 0  fitness: 15734687.000000 geracao :27
individuo 0  fitness: 15702973.000000 geracao :28
individuo 0  fitness: 15702973.000000 geracao :29
individuo 0  fitness: 1348960640.000000 geracao :30
individuo 0  fitness: 1665936640.000000 geracao :31
individuo 0  fitness: 1665936640.000000 geracao :32
individuo 0  fitness: 1665936640.000000 geracao :33
individuo 0  fitness: 1665936640.000000 geracao :34
individuo 0  fitness: 1624406400.000000 geracao :35
individuo 0  fitness: 1665936640.000000 geracao :36
individuo 0  fitness: 4242441984.000000 geracao :37
individuo 0  fitness: 2376687360.000000 geracao :38
individuo 0  fitness: 2376687360.000000 geracao :39
individuo 0  fitness: 2302401024.000000 geracao :40
individuo 0  fitness: 2277900800.000000 geracao :41
individuo 0  fitness: 2277900800.000000 geracao :42
individuo 0  fitness: 2277900800.000000 geracao :43
individuo 0  fitness: 2276373760.000000 geracao :44
individuo 0  fitness: 2276373760.000000 geracao :45
individuo 0  fitness: 2270271232.000000 geracao :46
individuo 0  fitness: 2276373760.000000 geracao :47
individuo 0  fitness: 2276373760.000000 geracao :48
individuo 0  fitness: 2227783168.000000 geracao :49
individuo 0  fitness: 2227594496.000000 geracao :50
individuo 0  fitness: 1521469824.000000 geracao :51
individuo 1  fitness: 1518039552.000000 geracao :52
individuo 0  fitness: 1517727872.000000 geracao :53
individuo 0  fitness: 1517727872.000000 geracao :54
individuo 0  fitness: 1517727872.000000 geracao :55
individuo 0  fitness: 3119528448.000000 geracao :56
individuo 1  fitness: 3119528448.000000 geracao :57
individuo 0  fitness: 3119528448.000000 geracao :58
individuo 0  fitness: 3119528448.000000 geracao :59
individuo 0  fitness: 4101648384.000000 geracao :60
individuo 0  fitness: 2271605504.000000 geracao :61
individuo 0  fitness: 2271605504.000000 geracao :62
individuo 0  fitness: 2271605504.000000 geracao :63
individuo 0  fitness: 2223066112.000000 geracao :64
individuo 0  fitness: 2223066112.000000 geracao :65
individuo 0  fitness: 2271605504.000000 geracao :66
individuo 0  fitness: 2223443456.000000 geracao :67
individuo 0  fitness: 2223443456.000000 geracao :68
individuo 0  fitness: 1518039552.000000 geracao :69
individuo 0  fitness: 1516793088.000000 geracao :70
individuo 0  fitness: 1516793088.000000 geracao :71
individuo 1  fitness: 1514301824.000000 geracao :72
individuo 0  fitness: 1514301824.000000 geracao :73
individuo 0  fitness: 1514301824.000000 geracao :74
individuo 0  fitness: 1595040128.000000 geracao :75
individuo 1  fitness: 1596318336.000000 geracao :76
individuo 0  fitness: 1596318336.000000 geracao :77
individuo 0  fitness: 1596318336.000000 geracao :78
individuo 0  fitness: 1601435904.000000 geracao :79
individuo 0  fitness: 3181038336.000000 geracao :80
individuo 0  fitness: 3181038336.000000 geracao :81
individuo 0  fitness: 3181038336.000000 geracao :82
individuo 0  fitness: 3181038336.000000 geracao :83
individuo 0  fitness: 3181038336.000000 geracao :84
individuo 0  fitness: 3181038336.000000 geracao :85
